ebno_db,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,layer,bler,block_errors,num_blocks,post_ldpc_ber,info_bit_errors,bler_ci95_low,bler_ci95_high
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.5535714285714286,310,560,0.12372065145502646,59861,0.5121719036231446,0.5942409879111058
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.6553571428571429,367,560,0.15184151785714287,73467,0.6150566793334858,0.6935407061158402
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,2,0.6392857142857142,358,560,0.14456225198412698,69945,0.5986885851735856,0.6779849328154651
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,3,0.5607142857142857,314,560,0.1281167328042328,61988,0.5193334577961892,0.6012678192759611
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.4230769230769231,264,624,0.0948443435422602,51134,0.3848998539437009,0.4621953025623355
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.5144230769230769,321,624,0.11831893993352327,63790,0.4752405289236074,0.5534291292315106
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,2,0.5128205128205128,320,624,0.11217948717948718,60480,0.47364437468021436,0.5518397659021128
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,3,0.453525641025641,283,624,0.09772858796296297,52689,0.4148677944107844,0.4927521959782793
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.3277777777777778,236,720,0.0730516975308642,45444,0.2944837735050879,0.36289976403910096
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.41805555555555557,301,720,0.09222125771604939,57369,0.3825555804515528,0.4544252962831823
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,2,0.4166666666666667,300,720,0.0870434670781893,54148,0.38119092720100495,0.45302691354618324
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,3,0.35555555555555557,256,720,0.0734375,45684,0.3214420264303037,0.3912022308648225
