ebno_db,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,layer,bler,block_errors,num_blocks,post_ldpc_ber,info_bit_errors,bler_ci95_low,bler_ci95_high
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.4157608695652174,306,736,0.08639983393719806,54942,0.380681871688148,0.4517146525649592
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.4592391304347826,338,736,0.0927199703099839,58961,0.42354135339106375,0.4953601906023752
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.28125,288,1024,0.05723628291377315,50639,0.2545688519521874,0.3095662623153204
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.2978515625,305,1024,0.060090241608796294,53164,0.2706392956835235,0.32657485009046805
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.18949468085106383,285,1504,0.03634520907210402,47229,0.17048900011877474,0.21008248202464921
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.18617021276595744,280,1504,0.03567954590228527,46364,0.16730666657152968,0.2066328185927018
9.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.10917721518987342,276,2528,0.020880490359821847,45607,0.09760810165212626,0.12193228737349597
9.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.10640822784810126,269,2528,0.020715211849507736,45246,0.09497935484144346,0.11903146204164775
11.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.06687743190661478,275,4112,0.013424180807753278,47693,0.05963916518529216,0.07492419551796134
11.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.06614785992217899,272,4112,0.012814233859345728,45526,0.058948958978417114,0.07415661962607716
13.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.04471153846153846,279,6240,0.008118730709876544,43771,0.039857759176234596,0.05012554077238581
13.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.04294871794871795,268,6240,0.008139133725071225,43881,0.03819325252745058,0.04826657550967206
