epoch,lr,train_loss,train_ber,val_loss,val_ber
1,0.001,0.32823144388198855,0.15508391203703703,0.2537982819080353,0.12416927083333333
2,0.001,0.24981171169281005,0.1243984375,0.242801255941391,0.12193315972222223
3,0.001,0.24368145685195922,0.12262511574074074,0.24025134420394897,0.12127372685185185
4,0.001,0.24268185858726501,0.12281105324074074,0.23852609062194824,0.12083796296296297
5,0.001,0.23754683525562287,0.11993385416666667,0.2377218825817108,0.12044126157407407
6,0.001,0.24153621380329132,0.12260358796296296,0.23737167024612427,0.12052575231481481
7,0.001,0.2339831315279007,0.11846707175925926,0.2370514795780182,0.12040277777777778
8,0.001,0.23724602913856507,0.12031550925925925,0.2363988699913025,0.11994155092592593
9,0.001,0.24144273040890693,0.12244346064814815,0.2359029109477997,0.11971440972222222
10,0.001,0.23847865102291108,0.1210708912037037,0.23580639910697937,0.11968344907407408
11,0.001,0.23532032611370088,0.11953518518518519,0.2355209481716156,0.11952025462962963
12,0.001,0.2399379111766815,0.12214890046296296,0.23603671979904176,0.11986429398148148
13,0.001,0.23589962034225465,0.11987575231481482,0.2361966118812561,0.11949363425925925
14,0.001,0.24237265532016755,0.12305648148148148,0.23507972240447997,0.11939236111111111
15,0.001,0.23712622170448303,0.12024837962962963,0.2352612726688385,0.11948958333333333
16,0.001,0.23917470531463622,0.12151927083333333,0.23485912942886353,0.1192109375
17,0.001,0.23939350438117982,0.12162274305555555,0.23509276580810548,0.11928269675925926
18,0.001,0.23505408860445023,0.11913778935185185,0.23498253226280214,0.11950954861111111
19,0.001,0.2353192352294922,0.1193495949074074,0.23446261858940123,0.11904803240740741
20,0.001,0.23846038718223572,0.12128159722222222,0.23530471062660216,0.11950144675925926
21,0.001,0.2402555184364319,0.12161024305555555,0.2350293152332306,0.1193755787037037
22,0.001,0.2375402662754059,0.12057436342592592,0.23466763806343077,0.11903761574074075
23,0.001,0.23426318264007567,0.11887222222222223,0.23477385067939757,0.11918663194444444
24,0.001,0.23942988317012787,0.1214185763888889,0.2341593337059021,0.11883738425925926
25,0.001,0.2388614643573761,0.12114380787037037,0.23526482486724853,0.11945978009259259
26,0.001,0.23667161302566528,0.1202296875,0.23396778726577758,0.1188119212962963
27,0.001,0.2355200524330139,0.11943478009259259,0.23406508588790895,0.11878559027777778
28,0.001,0.23370596795082094,0.11844212962962963,0.23439859366416932,0.11893981481481482
29,0.001,0.23610882477760314,0.12004733796296296,0.23434910726547242,0.11904947916666667
30,0.001,0.23512898559570314,0.1192078125,0.2341627116203308,0.11893923611111111
31,0.001,0.23573479804992675,0.11975127314814815,0.23398023962974548,0.1188755787037037
32,0.001,0.23644451198577882,0.12029427083333333,0.23395179677009584,0.11874131944444444
33,0.001,0.23565821044445037,0.11988454861111111,0.2339772427082062,0.11884635416666667
34,0.001,0.23979429421424867,0.12204340277777778,0.2345947229862213,0.11916203703703704
35,0.001,0.2385723480939865,0.12150486111111111,0.2338752372264862,0.11872858796296297
36,0.001,0.23714361908435821,0.12058356481481482,0.23388300824165345,0.11862847222222223
37,0.001,0.23835150611400605,0.1212259837962963,0.23390669941902162,0.11875491898148148
38,0.001,0.23388790390491485,0.11866400462962963,0.23393164038658143,0.11877430555555556
39,0.001,0.23235068821907043,0.11790011574074075,0.23367402076721192,0.11859201388888889
40,0.001,0.2367159081220627,0.12047488425925926,0.23435303902626037,0.11894618055555556
41,0.001,0.2367351989030838,0.12043744212962963,0.23392065954208374,0.11890711805555555
42,0.001,0.23675348932743073,0.12009866898148149,0.23435983061790466,0.11897482638888889
43,0.001,0.23595450155735015,0.11959143518518518,0.2336113703250885,0.11861111111111111
44,0.001,0.23633069443702698,0.11988628472222222,0.23365274691581725,0.11873466435185186
45,0.001,0.23665955352783202,0.12032893518518518,0.23381812739372254,0.11872019675925925
46,0.001,0.23613299918174743,0.1199558449074074,0.23361960983276367,0.11853501157407408
47,0.001,0.23595233426094056,0.11974623842592592,0.2338927550315857,0.11872685185185185
48,0.001,0.2363300085067749,0.12010578703703703,0.2335123438835144,0.11855497685185185
49,0.001,0.23850080225467682,0.12113240740740741,0.23351588129997253,0.11856626157407407
50,0.001,0.2381028400182724,0.1210443287037037,0.23331640076637267,0.1184386574074074
