model,train_profile,test_profile,snr_db,ber,errors,trials,num_rows
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,-4.0,0.272464139961902,2892706,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,-2.0,0.2230461026415413,2368043,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,0.0,0.16942784815658757,1798787,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,2.0,0.11564005157093943,1227731,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,4.0,0.06810751079041281,723086,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,6.0,0.03300975281515239,350459,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,8.0,0.012739487636236497,135253,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,10.0,0.004423824357397762,46967,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,12.0,0.0018066594630111884,19181,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,14.0,0.0009572535385320216,10163,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,16.0,0.0005915135513117284,6280,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,18.0,0.00039522147472993826,4196,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_A_30ns,20.0,0.00028803319106867286,3058,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,-10.0,0.39176347520616317,4159287,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,-8.0,0.36202597912446954,3843569,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,-6.0,0.32620295771846064,3463242,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,-4.0,0.28378851619767553,3012935,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,-2.0,0.23553542148919754,2500640,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,0.0,0.1835605009102527,1948831,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,2.0,0.13174852912808643,1398752,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,4.0,0.0854988569094811,907727,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,6.0,0.0497948917341821,528664,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,8.0,0.026674152892312886,283195,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,10.0,0.014011147581500771,148754,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,12.0,0.007762956030574845,82418,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,14.0,0.004570195704330633,48521,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,16.0,0.0028320124119888116,30067,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,18.0,0.0018377421814718363,19511,10616832,6
real_imag_cnn,tdl_A_10_30_100_mix_normalized,tdl_B_100ns,20.0,0.0012674213927469137,13456,10616832,6
