ebno_db,bler,post_ldpc_ber,pre_ldpc_coded_ber,coded_bce,block_errors,num_blocks,num_layer_blocks,info_bit_errors,coded_bit_errors,k_per_layer,n_per_layer,coderate,decoder_iterations,target_reached,num_batches,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,bler_ci95_low,bler_ci95_high
3.0,0.847972972972973,0.10086600272147148,0.14351656343843844,0.30398924954541334,502,592,2368,206367,587256,864,1728,0.5,20,1,37,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.8168130913250197,0.8746460105901807
5.0,0.65625,0.07356168016975309,0.12210911880304784,0.26102228149955653,504,768,3072,195248,648206,864,1728,0.5,20,1,48,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.6219559724054691,0.6889887135235544
7.0,0.5296610169491526,0.05435217062931576,0.10428375608129316,0.2246069061030252,500,944,3776,177322,680444,864,1728,0.5,20,1,59,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.4977656383325033,0.5613159722879852
9.0,0.4216666666666667,0.038702498070987655,0.08680531442901235,0.18841673368289147,506,1200,4800,160507,719998,864,1728,0.5,20,1,75,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.39401981319873636,0.44981344356235875
11.0,0.3400537634408602,0.02796173399542015,0.07245385926921545,0.15803155515451253,506,1488,5952,143794,745192,864,1728,0.5,20,1,93,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.31642318053303664,0.36450806240461453
13.0,0.259297520661157,0.01960358796296296,0.059604314331764614,0.13083533143136053,502,1936,7744,131164,797603,864,1728,0.5,20,1,121,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.24026604846167238,0.27928231681215804
