epoch,lr,train_loss,train_ber,val_loss,val_ber
1,0.001,0.42167247371673583,0.17037037037037037,0.3136454062461853,0.12725868055555556
2,0.001,0.29430529732704164,0.1306878472222222,0.2679971318244934,0.12366666666666666
3,0.001,0.2736394992351532,0.1325806712962963,0.2510461828708649,0.12184953703703703
4,0.001,0.25764554405212403,0.12835659722222223,0.24565979957580567,0.12165914351851852
5,0.001,0.25574704451560976,0.1287603009259259,0.2420326464176178,0.12102025462962963
6,0.001,0.2536787254810333,0.1282383101851852,0.24022183406352998,0.12074768518518518
7,0.001,0.2571153167247772,0.1309789351851852,0.2391514972448349,0.12025
8,0.001,0.2540844873905182,0.1298394675925926,0.23790340662002563,0.12009201388888889
9,0.001,0.2537627412796021,0.12993645833333334,0.23799657344818115,0.12026388888888889
10,0.001,0.2525091705799103,0.12938657407407408,0.23683722960948944,0.11986168981481482
11,0.001,0.24755275950431824,0.12682569444444444,0.23730190193653106,0.12017708333333334
12,0.001,0.24730193791389465,0.1261787037037037,0.2367364604473114,0.12008564814814815
13,0.001,0.24305549612045288,0.12484641203703704,0.23604437613487245,0.11983101851851852
14,0.001,0.2513411408662796,0.12909988425925925,0.23624800312519073,0.11989756944444445
15,0.001,0.24903036196231843,0.12803784722222222,0.23556289291381835,0.1195775462962963
16,0.001,0.245710853099823,0.1258034722222222,0.23570265352725983,0.11994212962962963
17,0.001,0.24202516922950745,0.12411087962962963,0.23535065233707428,0.11956539351851851
18,0.001,0.2513964129805565,0.1294423611111111,0.23504284393787384,0.11948321759259259
19,0.001,0.24370250029563903,0.12513981481481481,0.23536555910110474,0.11953530092592593
20,0.001,0.24392836337089538,0.12517233796296295,0.23511002230644226,0.11950578703703704
21,0.001,0.24379078420400618,0.12499953703703703,0.23657386767864227,0.11994039351851851
22,0.001,0.24633087029457093,0.12681342592592593,0.23579352760314942,0.12000173611111112
23,0.001,0.2462016438961029,0.1266752314814815,0.23496325337886811,0.11973900462962964
24,0.001,0.24481507029533386,0.12557141203703703,0.2346874945163727,0.11931423611111111
25,0.001,0.24566770009994507,0.125996875,0.2355031336545944,0.11973032407407408
26,0.001,0.24690886273384094,0.12729849537037036,0.23431197011470795,0.11934953703703703
27,0.001,0.25161084287166596,0.12986840277777778,0.23434545886516572,0.119265625
28,0.001,0.24886195654869078,0.12816550925925926,0.23445060336589812,0.11925578703703704
29,0.001,0.24743069608211518,0.1276621527777778,0.23449864494800568,0.1193136574074074
30,0.001,0.2432392410993576,0.12506400462962963,0.23438585984706878,0.11931481481481482
