spatial_id,source_csv,ebno_db,bler,post_ldpc_ber,pre_ldpc_coded_ber,coded_bce,block_errors,num_blocks,num_layer_blocks,info_bit_errors,coded_bit_errors,k_per_layer,n_per_layer,coderate,decoder_iterations,target_reached,num_batches,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,bler_ci95_low,bler_ci95_high
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler.csv,11.0,0.25,0.02934375,0.06542881944444444,0.13453942899350768,500,2000,4000,101412,452244,864,1728,0.5,20,1,125,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.23151413442481875,0.2694443892158077
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler.csv,13.0,0.17826704545454544,0.020309910629734848,0.050568037964278195,0.10452349724793675,502,2816,5632,98829,492133,864,1728,0.5,20,1,176,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.16457197636022877,0.1928387056013701
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_ls/bler.csv,3.0,0.982421875,0.17802824797453703,0.1888263843677662,0.3860785552748927,503,512,1024,157508,334123,864,1728,0.5,20,1,32,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.9669335150663066,0.9907250669510682
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_ls/bler.csv,5.0,0.8189102564102564,0.11716338734567901,0.1559972808345204,0.32233213585892523,511,624,1248,126334,336415,864,1728,0.5,20,1,39,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.7867735621539887,0.8471444348314018
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_ls/bler.csv,7.0,0.5798611111111112,0.07830517511145405,0.12833893282750342,0.2667422291346211,501,864,1728,116909,383218,864,1728,0.5,20,1,54,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.5466669790311318,0.6123482403933096
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_ls/bler.csv,9.0,0.4144736842105263,0.05127238669590643,0.10274703414351852,0.21551786366029557,504,1216,2432,107736,431794,864,1728,0.5,20,1,76,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.38709661211064406,0.44238942601673026
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_ls/bler.csv,11.0,0.26145833333333335,0.03086600597993827,0.07909267095871914,0.16883502499556835,502,1920,3840,102406,524821,864,1728,0.5,20,1,120,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.24229290619239033,0.28157638365984944
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_ls/bler.csv,13.0,0.16361256544502617,0.01931404674471592,0.05924640128102579,0.12907800876472447,500,3056,6112,101993,625733,864,1728,0.5,20,1,191,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.15092085567375235,0.1771489062176329
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_perfect/bler.csv,3.0,0.6915760869565217,0.08955990212359098,0.14333020393015297,0.2942778603466237,509,736,1472,113903,364577,864,1728,0.5,20,1,46,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.6572873176046526,0.7238754256261842
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_perfect/bler.csv,5.0,0.490234375,0.058663262261284724,0.11684559009693286,0.24156144620091827,502,1024,2048,103803,413510,864,1728,0.5,20,1,64,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.45970952633114714,0.5208322198415095
