spatial_id,source_csv,ebno_db,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,layer,bler,block_errors,num_blocks,post_ldpc_ber,info_bit_errors,bler_ci95_low,bler_ci95_high
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_ls/bler_per_layer.csv,13.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.18452380952380953,310,1680,0.04060846560846561,58944,0.16670151880564835,0.20378553361412735
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_ls/bler_per_layer.csv,13.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.17916666666666667,301,1680,0.04008969907407407,58191,0.16156701863585077,0.19823019127784564
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.5480769230769231,342,624,0.12434895833333333,67041,0.5088523953791647,0.5867131318045625
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.530448717948718,331,624,0.11334431386514719,61108,0.4912240844521183,0.569300749430909
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.41836734693877553,328,784,0.09231505102040816,62532,0.3843176248759614,0.45321313900183585
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.3852040816326531,302,784,0.08086646116780045,54777,0.3517779388958538,0.4197496978072986
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.3001893939393939,317,1056,0.06410677960157127,58490,0.2733100592887508,0.32851717959887733
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.28125,297,1056,0.059742389169472505,54508,0.254962847338818,0.3091228976045095
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,9.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.21067415730337077,300,1424,0.04310773642322097,53037,0.19028670516127036,0.2326184115730683
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,9.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.19662921348314608,280,1424,0.042545288441531416,52345,0.17681392775140214,0.2180768742613025
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,11.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.147,294,2000,0.029509837962962963,50993,0.13215774792821597,0.16319568745234855
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/umi_normalized/lmmse_perfect/bler_per_layer.csv,11.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.14,280,2000,0.029177662037037037,50419,0.12548195561218853,0.15589831843031357
