ebno_db,bler,post_ldpc_ber,pre_ldpc_coded_ber,coded_bce,block_errors,num_blocks,num_layer_blocks,info_bit_errors,coded_bit_errors,k_per_layer,n_per_layer,coderate,decoder_iterations,target_reached,num_batches,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,bler_ci95_low,bler_ci95_high
3.0,0.1481042654028436,0.015900124243022642,0.060783001881472704,0.13749024879310934,500,3376,6752,92757,709183,864,1728,0.5,20,1,211,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.13652250676470248,0.1604859390607292
5.0,0.08643250688705234,0.008713934643148659,0.0401275918114223,0.09130753757831771,502,5808,11616,87455,805459,864,1728,0.5,20,1,363,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.0794763214915878,0.09393540454424242
7.0,0.045421511627906974,0.00437534276418497,0.02545765327236757,0.05832633120388845,500,11008,22016,83227,968502,864,1728,0.5,20,1,688,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.041687708447730176,0.04947247239710009
9.0,0.0236,0.002145167824074074,0.016005512152777776,0.03692174029306129,472,20000,40000,74137,1106301,864,1728,0.5,20,0,1250,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.021585906672928982,0.0257970652813275
11.0,0.01175,0.0010260127314814815,0.009839583333333334,0.022885063057696376,235,20000,40000,35459,680112,864,1728,0.5,20,0,1250,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.010347532370722064,0.013339990838064104
13.0,0.00565,0.00046956018518518516,0.005937413194444445,0.013947274935673232,113,20000,40000,16228,410394,864,1728,0.5,20,0,1250,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.004701915418971162,0.00678795062969948
