ebno_db,bler,post_ldpc_ber,pre_ldpc_coded_ber,coded_bce,block_errors,num_blocks,num_layer_blocks,info_bit_errors,coded_bit_errors,k_per_layer,n_per_layer,coderate,decoder_iterations,target_reached,num_batches,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,bler_ci95_low,bler_ci95_high
3.0,0.0188,0.001644675925925926,0.012460185185185185,0.028684701088057072,376,20000,40000,56840,861248,864,1728,0.5,20,0,1250,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.01700801293397831,0.020776802566416775
5.0,0.0081,0.0006387152777777778,0.007853732638888888,0.01834617110880273,162,20000,40000,22074,542850,864,1728,0.5,20,0,1250,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.006948743571097038,0.009440181500898693
7.0,0.0032,0.00026553819444444444,0.004804166666666667,0.011398465167561263,64,20000,40000,9177,332064,864,1728,0.5,20,0,1250,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.0025069551880816257,0.00408385183726393
9.0,0.0013,9.539930555555556e-05,0.0028091579861111112,0.0067875715213020675,26,20000,40000,3297,194169,864,1728,0.5,20,0,1250,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.0008873454127417631,0.0019041913496169907
11.0,0.00065,2.115162037037037e-05,0.0015606336805555556,0.0038296993219003013,13,20000,40000,731,107871,864,1728,0.5,20,0,1250,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.0003799180580200702,0.0011118683512116193
13.0,0.0,0.0,0.0008165653935185186,0.002025487766052301,0,20000,40000,0,56441,864,1728,0.5,20,0,1250,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.0,0.00019203605610462553
