ebno_db,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,layer,bler,block_errors,num_blocks,post_ldpc_ber,info_bit_errors,bler_ci95_low,bler_ci95_high
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.01345,269,20000,0.0017704282407407408,30593,0.01194441191689571,0.0151424583692997
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.012,240,20000,0.001518923611111111,26247,0.01058190616083744,0.013605521029920676
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.00575,115,20000,0.0006764467592592592,11689,0.004792836464323753,0.006896991177135669
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.00525,105,20000,0.0006009837962962963,10385,0.004339065918743494,0.006350953758772034
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.0022,44,20000,0.00031180555555555557,5388,0.0016393270230052992,0.002951864074452466
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.00205,41,20000,0.00021927083333333333,3789,0.0015115810586180745,0.0027796676496565226
9.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.001,20,20000,0.00012077546296296296,2087,0.0006474660464272732,0.0015441859375651431
9.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.0006,12,20000,7.002314814814814e-05,1210,0.0003432700669267663,0.0010485355459105335
11.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.0005,10,20000,2.7314814814814816e-05,472,0.000271621145015576,0.0009202228750329448
11.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.0002,4,20000,1.4988425925925927e-05,259,7.777875605022842e-05,0.0005141804856319553
13.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0,0.0,0,20000,0.0,0,0.0,0.00019203605610462553
13.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,1,0.0,0,20000,0.0,0,0.0,0.00019203605610462553
