ebno_db,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,layer,bler,block_errors,num_blocks,post_ldpc_ber,info_bit_errors,bler_ci95_low,bler_ci95_high
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.11043233082706767,235,2128,0.020241032268170426,37215,0.09781100708850518,0.12445761277538325
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.13862781954887218,295,2128,0.027069627192982455,49770,0.1245958581728222,0.15396212575399348
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,2,0.14332706766917294,305,2128,0.028527808235867445,52451,0.12908139727559378,0.15885814732837647
3.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,3,0.11795112781954888,251,2128,0.021817238408521303,40113,0.10493022699930012,0.1323488899480356
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.06751336898395723,202,2992,0.012453347816399287,32193,0.05906610585389323,0.07706975594876707
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.09759358288770054,292,2992,0.017909254926718163,46297,0.08747030585815008,0.10874884221789552
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,2,0.10127005347593583,303,2992,0.01970068330362448,50928,0.09096625272443187,0.11259640811836083
5.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,3,0.07419786096256685,222,2992,0.0135836768419489,35115,0.065342784863549,0.08414491833319693
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.0435,174,4000,0.007342592592592592,25376,0.03760457381513683,0.05027139790836064
7.0,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx8_seed0.pt,125,uniform,4,8,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.0705,282,4000,0.012139467592592592,41954,0.06297218860300047,0.07885197318285309
