epoch,lr,train_loss,train_ber,val_loss,val_ber
1,0.001,0.3515256031036377,0.17146342592592592,0.28084739685058596,0.14214872685185184
2,0.001,0.2725163088560104,0.13940208333333334,0.26650634002685547,0.13728732638888888
3,0.001,0.2667533790588379,0.13752494212962962,0.2622169058322906,0.13596469907407407
4,0.001,0.2638726202964783,0.13675260416666668,0.2606218376159668,0.13519791666666667
5,0.001,0.2592892502784729,0.13424010416666668,0.2589682035446167,0.1347633101851852
6,0.001,0.2608996039867401,0.13571059027777777,0.2596035017967224,0.13486631944444444
7,0.001,0.2554483579158783,0.13245775462962964,0.25766568088531494,0.13398292824074073
8,0.001,0.2570214911937714,0.1335398726851852,0.25689713954925536,0.1337416087962963
9,0.001,0.26211805102825164,0.13621805555555555,0.25712470984458924,0.1337288773148148
10,0.001,0.25775997614860535,0.13395231481481482,0.2560041959285736,0.13317071759259258
11,0.001,0.2549887239217758,0.13251684027777777,0.2556536111831665,0.13295688657407406
12,0.001,0.25849988460540774,0.13458425925925926,0.25558356690406797,0.13280121527777777
13,0.001,0.25424008045196533,0.13179247685185186,0.255209965467453,0.1326131365740741
14,0.001,0.26167524020671845,0.1359204861111111,0.25454157638549807,0.13227777777777777
15,0.001,0.25584029808044434,0.1326284722222222,0.25488135743141177,0.13236921296296297
16,0.001,0.25873353900909424,0.13471712962962962,0.25440348863601686,0.13215653935185184
17,0.001,0.258405864906311,0.13417881944444446,0.25409999990463256,0.13204108796296296
18,0.001,0.2543971968173981,0.13185393518518518,0.25394075965881346,0.1319056712962963
19,0.001,0.2536006718635559,0.13166082175925925,0.2538180601596832,0.13197858796296297
20,0.001,0.25735943903923036,0.1336447337962963,0.2535771396160126,0.13178732638888888
21,0.001,0.2589629629611969,0.13436984953703704,0.2537284834384918,0.13178732638888888
22,0.001,0.2559715870857239,0.13305185185185187,0.2538106620311737,0.13185792824074075
23,0.001,0.2529157031536102,0.13120833333333334,0.2531627018451691,0.13158564814814816
24,0.001,0.25803034720420837,0.1340494212962963,0.25370257353782655,0.13177199074074075
25,0.001,0.25769138975143435,0.13388975694444444,0.2538805763721466,0.13181163194444445
26,0.001,0.25514478378295896,0.1327200810185185,0.2539298460483551,0.13195081018518517
27,0.001,0.253492103767395,0.13144832175925925,0.25292722129821776,0.13124421296296296
28,0.001,0.25174889125823974,0.13053206018518518,0.2534983379840851,0.13161863425925927
29,0.001,0.2538523767232895,0.13215185185185185,0.252507392168045,0.13114554398148148
30,0.001,0.25415410799980165,0.13184508101851852,0.2533197045326233,0.13158998842592592
31,0.001,0.2544187848329544,0.1321363425925926,0.25232675576210023,0.13111371527777776
32,0.001,0.25434277358055113,0.13225480324074074,0.2528313946723938,0.1312404513888889
33,0.001,0.2544195389986038,0.13228738425925926,0.2532230565547943,0.13139438657407407
34,0.001,0.2570935833454132,0.1340087962962963,0.25292797255516053,0.13138454861111112
35,0.001,0.2562525745868683,0.1332566550925926,0.2525269920825958,0.1310491898148148
36,0.001,0.2547766478061676,0.13249131944444445,0.2523392481803894,0.13096469907407407
37,0.001,0.25588712239265443,0.13317523148148147,0.2528845362663269,0.13142563657407408
38,0.001,0.2517285645008087,0.13082824074074073,0.25201713037490847,0.1309033564814815
39,0.001,0.24996494784355164,0.12955034722222222,0.2521558587551117,0.1308616898148148
40,0.001,0.25405888452529907,0.1321417824074074,0.25226414918899537,0.1310529513888889
41,0.001,0.25457419908046724,0.13236099537037038,0.25214947438240054,0.1309100115740741
42,0.001,0.25412416217327116,0.1318947337962963,0.25210880851745604,0.13075202546296297
43,0.001,0.253537824678421,0.1313785300925926,0.2521353178024292,0.1308203125
44,0.001,0.25373281846046447,0.13173200231481483,0.2518347716331482,0.1309369212962963
45,0.001,0.25450042498111725,0.13236637731481482,0.251833411693573,0.1307722800925926
46,0.001,0.2534761759757996,0.1319041087962963,0.251864785194397,0.13074681712962963
47,0.001,0.2551411246538162,0.13238744212962963,0.251441819190979,0.13059201388888889
48,0.001,0.2535431361675262,0.13167766203703704,0.25142211890220645,0.13064438657407407
49,0.001,0.25547483127117154,0.13269988425925927,0.2516477603912354,0.1306802662037037
50,0.001,0.25550345759391785,0.13274195601851851,0.25160639905929566,0.13063483796296296
