ebno_db,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,layer,bler,block_errors,num_blocks,post_ldpc_ber,info_bit_errors,bler_ci95_low,bler_ci95_high
3.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.73828125,378,512,0.1733940972222222,76704,0.6985321963804407,0.7744813542516229
3.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.7890625,404,512,0.18747965494791666,82935,0.7516376331702338,0.8221820839899746
3.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,2,0.818359375,419,512,0.19649703414351852,86924,0.78263299633789,0.8493441245885558
3.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,3,0.720703125,369,512,0.1723316333912037,76234,0.6803077278941309,0.7578113804781904
5.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.5974264705882353,325,544,0.13460392837690632,63266,0.5556713441553913,0.6378152901496865
5.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.6433823529411765,350,544,0.14493123638344227,68120,0.6022539922519194,0.6824999223857424
5.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,2,0.6856617647058824,373,544,0.15408624387254902,72423,0.6454627727464705,0.7232570397971684
5.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,3,0.5863970588235294,319,544,0.13216571350762527,62120,0.5445477731626367,0.6270347138626211
7.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0,0.4775641025641026,298,624,0.10217088081671415,55084,0.43863005385408976,0.5167727001268375
7.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,1,0.5224358974358975,326,624,0.11714112951092118,63155,0.48322729987316243,0.5613699461459102
7.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,2,0.5464743589743589,341,624,0.11979166666666667,64584,0.5072478040217206,0.5851322055892155
7.0,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer4_rx4_seed0.pt,128,uniform,4,4,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,3,0.46474358974358976,290,624,0.10412029617758785,56135,0.4259455853871204,0.5039730280114796
