ebno_db,bler,post_ldpc_ber,pre_ldpc_coded_ber,coded_bce,block_errors,num_blocks,num_layer_blocks,info_bit_errors,coded_bit_errors,k_per_layer,n_per_layer,coderate,decoder_iterations,target_reached,num_batches,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,bler_ci95_low,bler_ci95_high
3.0,0.0677645788336933,0.012350808810295176,0.020247403645208384,0.06275877912000087,502,7408,14816,158103,518375,864,1728,0.5,20,1,463,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.06226219928516036,0.07371500211885523
5.0,0.04203020134228188,0.007497125901068854,0.012176421125403927,0.03993067169469845,501,11920,23840,154424,501614,864,1728,0.5,20,1,745,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.03857311328910657,0.04578237418482493
7.0,0.0233,0.003986400462962963,0.0074631799768518515,0.026832882903504218,466,20000,40000,137770,515855,864,1728,0.5,20,0,1250,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.02129904128657645,0.0254840458893137
9.0,0.01295,0.002190451388888889,0.0045070891203703705,0.019380287787550122,259,20000,40000,75702,311530,864,1728,0.5,20,0,1250,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.01147400573031632,0.014613056591935195
11.0,0.0068,0.0011727719907407407,0.0026568287037037038,0.01639601539796966,136,20000,40000,40531,183640,864,1728,0.5,20,0,1250,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.00575193668791944,0.008037487677822162
13.0,0.00355,0.0006811921296296297,0.0015453559027777779,0.017540533103433252,71,20000,40000,23542,106815,864,1728,0.5,20,0,1250,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_rx16_seed0.pt,128,uniform,2,16,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.0028156394428322743,0.004475033157274009
