train_domain,train_profile,test_group,snr_db,num_train_seeds,mean_seed_ber,std_seed_ber,ci95_low,ci95_high,mean_seed_bce,pooled_ber,errors,trials
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,-10.0,3,0.38509896360797646,7.885553006250493e-05,0.38490307561196074,0.3852948516039922,0.6519869691059913,0.38509896360797646,12265593,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,-8.0,3,0.35480719044375325,4.6302468573322584e-05,0.3546921687354188,0.3549222121520877,0.6275922408319795,0.3548071904437532,11300785,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,-6.0,3,0.3182187806431649,4.861359787015282e-05,0.31809801777138724,0.31833954351494254,0.5911408314489043,0.3182187806431649,10135426,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,-4.0,3,0.27511894948197985,6.515728316171525e-05,0.2749570898176765,0.27528080914628317,0.5386777837825901,0.2751189494819798,8762675,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,-2.0,3,0.2259740319271637,3.2938295333020174e-05,0.2258922086655631,0.2260558551887643,0.46722352185857635,0.2259740319271637,7197385,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,0.0,3,0.17270117237734697,5.064065384355993e-05,0.17257537401938175,0.1728269707353122,0.37698901006223734,0.17270117237734697,5500618,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,2.0,3,0.11933870668764468,1.7556531215257457e-05,0.11929509384636369,0.11938231952892567,0.27426258459257985,0.11933870668764468,3800997,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,4.0,3,0.0721228328751929,5.8740244745057706e-05,0.07197691401801877,0.07226875173236703,0.172983450531469,0.0721228328751929,2297148,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,6.0,3,0.036981935854311344,4.263481435097037e-05,0.036876025104144644,0.037087846604478045,0.0910789390619645,0.036981935854311344,1177893,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,8.0,3,0.016243828667534724,2.081514994688993e-05,0.016192120968573972,0.016295536366495476,0.04009167619294835,0.016243828667534724,517374,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,10.0,3,0.007008996029449589,7.36872913612319e-06,0.006990691091514183,0.007027300967384994,0.01668797614466813,0.007008996029449589,223240,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,12.0,3,0.0035312165939268263,6.406539606060739e-06,0.0035153018672889904,0.0035471313205646623,0.008057915680220643,0.0035312165939268263,112471,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,14.0,3,0.0020708625699266976,1.604468923169596e-05,0.002031005352331428,0.002110719787521967,0.004637965388902546,0.0020708625699266976,65958,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,16.0,3,0.0013298693998360339,3.0273422486228883e-05,0.001254666049371414,0.0014050727503006537,0.0029403150985144524,0.0013298693998360339,42357,31850496
tdl_a,tdl_A_10_30_100_mix_normalized,in_domain,18.0,3,0.0008999231911490484,4.736339571969082e-05,0.0007822659936807854,0.0010175803886173112,0.0019966049129733518,0.0008999231911490484,28663,31850496
