train_domain,test_group,snr_db,num_train_seeds,real_pooled_ber,a_pooled_ber,pooled_difference,pooled_ratio,mean_paired_seed_difference,std_paired_seed_difference,paired_ci95_low,paired_ci95_high,real_mean_seed_bce,a_mean_seed_bce,mean_paired_seed_bce_difference,std_paired_seed_bce_difference,paired_bce_ci95_low,paired_bce_ci95_high
tdl_mix,in_domain,-10.0,3,0.38626094865210264,0.3931306862536772,-0.006869737601574555,0.9825255625119488,-0.006869737601574573,0.0001541144303195465,-0.007252579069870675,-0.006486896133278471,0.6525981934718144,0.6569955914108841,-0.004397397939069754,0.00019603844391189444,-0.0048843844305624575,-0.003910411447577051
tdl_mix,in_domain,-8.0,3,0.3558847733485846,0.3602736437762225,-0.004388870427637914,0.9878179530935547,-0.004388870427637914,8.056125825474027e-05,-0.0045889956873820985,-0.00418874516789373,0.6282640400492115,0.631862379702521,-0.003598339653309505,0.00019068848487999217,-0.00407203610981424,-0.003124643196804769
tdl_mix,in_domain,-6.0,3,0.3192913808940369,0.32190183945644046,-0.0026104585624035503,0.9918905136832659,-0.0026104585624035317,4.936369478954008e-05,-0.002733084778226173,-0.0024878323465808904,0.5918857273680193,0.5944940048603363,-0.002608277492317179,0.0002067678450530618,-0.003121917293810156,-0.0020946376908242024
tdl_mix,in_domain,-4.0,3,0.276158391693492,0.27753562927246095,-0.0013772375789689595,0.995037618836258,-0.001377237578968941,6.364368534143336e-05,-0.0015353372578463132,-0.001219137900091569,0.5395889135606495,0.541178440845307,-0.0015895272846574808,0.00022768730335034166,-0.002155133901418073,-0.0010239206678968886
tdl_mix,in_domain,-2.0,3,0.22702387115101755,0.22756504482693143,-0.0005411736759138863,0.9976218945386561,-0.0005411736759138678,6.232563136706243e-05,-0.0006959991272072595,-0.0003863482246204761,0.4684492481159575,0.4690268899739524,-0.0005776418579949335,0.00023439801519273856,-0.0011599188071165403,4.635091126673277e-06
tdl_mix,in_domain,0.0,3,0.17380422427330489,0.17372448297194493,7.974130135995905e-05,1.0004590101521433,7.974130135995905e-05,7.379038872036366e-05,-0.00010356418603190622,0.00026304678875182434,0.37872464691783175,0.37825666574048405,0.0004679811773476798,0.00020854216716535936,-5.006628461741333e-05,0.000986028639312773
tdl_mix,in_domain,2.0,3,0.12066015549647956,0.12007041742772231,0.0005897380687572423,1.0049116017199844,0.0005897380687572331,5.541191084494926e-05,0.00045208725134197083,0.0007273888861724954,0.27665848778905694,0.27518105059862136,0.001477437190435582,0.00016525417878696886,0.001066923052871103,0.0018879513280000613
tdl_mix,in_domain,4.0,3,0.07356883390450183,0.07267036437988281,0.0008984695246190277,1.0123636303778842,0.0008984695246190231,1.5085319660228363e-05,0.0008609955131558318,0.0009359435360822144,0.17597944434318277,0.1738044977877979,0.002174946555384879,6.906971086574776e-05,0.0020033678818771306,0.002346525228892627
tdl_mix,in_domain,6.0,3,0.038375213999807097,0.03747771934226707,0.000897494657540028,1.0239474192477833,0.0008974946575400258,1.554213199770613e-05,0.0008588858613220705,0.000936103453757981,0.09427641557506573,0.09199243295523855,0.0022839826198271748,5.734056878682202e-05,0.0021415407504852594,0.00242642448916909
tdl_mix,in_domain,8.0,3,0.017433142956392266,0.016803407080379532,0.0006297358760127339,1.0374766779737215,0.0006297358760127316,1.7154383170665087e-05,0.0005871220258550647,0.0006723497261703986,0.04285087632877683,0.04113364163728684,0.0017172346914899929,3.174005154593251e-05,0.0016383880324688774,0.0017960813505111084
