train_domain,train_profile,train_seed,epochs,best_epoch,best_val_bce,best_val_ber,final_val_bce,final_val_ber,best_checkpoint_exists
tdl_a,tdl_A_10_30_100_mix_normalized,0,50,48,0.2319163200855255,0.11728356481481482,0.23204003453254698,0.11737673611111112,1
tdl_a,tdl_A_10_30_100_mix_normalized,1,50,50,0.23331640076637267,0.1184386574074074,0.23331640076637267,0.1184386574074074,1
tdl_a,tdl_A_10_30_100_mix_normalized,2,50,47,0.23622113156318664,0.12007146990740741,0.23658025074005126,0.12029079861111111,1
tdl_mix,tdl_mix_normalized,0,50,50,0.2338110725879669,0.11845572916666666,0.2338110725879669,0.11845572916666666,1
tdl_mix,tdl_mix_normalized,1,50,50,0.23453913617134095,0.11950752314814815,0.23453913617134095,0.11950752314814815,1
tdl_mix,tdl_mix_normalized,2,50,50,0.23718505549430846,0.1207751736111111,0.23718505549430846,0.1207751736111111,1
umi,umi_normalized,0,50,49,0.23934847092628478,0.12199537037037037,0.23981166195869447,0.12226244212962963,1
umi,umi_normalized,1,50,48,0.24045692372322083,0.123390625,0.24050024795532227,0.12338599537037037,1
umi,umi_normalized,2,50,47,0.2430685670375824,0.12462239583333333,0.2433553147315979,0.12482841435185185,1
umi_uma_mix,umi_uma_mix_normalized,0,50,49,0.24879072308540345,0.12866145833333334,0.24901527285575867,0.12859722222222222,1
umi_uma_mix,umi_uma_mix_normalized,1,50,48,0.25142211890220645,0.13064438657407407,0.25160639905929566,0.13063483796296296,1
umi_uma_mix,umi_uma_mix_normalized,2,50,47,0.25315366363525393,0.13108217592592591,0.25355501389503476,0.13126417824074074,1
