epoch,lr,train_loss,train_ber,val_loss,val_ber
1,0.001,0.5566015681743622,0.283875,0.41645057797431945,0.15802372685185184
2,0.001,0.3644487293243408,0.14746493055555557,0.3199598340988159,0.135
3,0.001,0.3160211769104004,0.14232569444444446,0.2893992381095886,0.1310798611111111
4,0.001,0.29066039781570435,0.13691469907407408,0.27468732905387877,0.12936921296296297
5,0.001,0.28148837265968324,0.13653819444444446,0.26519741845130923,0.12798784722222223
6,0.001,0.27543892064094544,0.13549166666666668,0.2604210858345032,0.12769097222222223
7,0.001,0.2746427321910858,0.13728784722222223,0.2564987003803253,0.1267771990740741
8,0.001,0.26937484412193297,0.13576261574074075,0.2524896881580353,0.12546412037037036
9,0.001,0.26712002489566805,0.13513784722222222,0.2507846802473068,0.12538657407407408
10,0.001,0.2642807667732239,0.13414560185185184,0.2484310176372528,0.12438078703703703
11,0.001,0.25860786228179933,0.13120902777777776,0.24706404101848603,0.12402893518518518
12,0.001,0.257231627702713,0.13007372685185184,0.2458729876279831,0.12354976851851852
13,0.001,0.2521361968994141,0.12825497685185186,0.24610431957244874,0.12380092592592593
14,0.001,0.2600628664970398,0.13262939814814814,0.2444731674194336,0.12278993055555555
15,0.001,0.257415057015419,0.13143611111111111,0.2451937413215637,0.12348148148148148
16,0.001,0.25421239697933196,0.12929143518518518,0.24327195501327514,0.12276793981481482
17,0.001,0.24966284503936767,0.1270857638888889,0.24276496255397798,0.12254629629629629
18,0.001,0.2588229212880135,0.13249178240740742,0.24222866547107696,0.1223431712962963
19,0.001,0.2508364719390869,0.12806770833333334,0.2424726560115814,0.12238425925925926
20,0.001,0.2512825752735138,0.12800300925925925,0.24205041134357452,0.12241493055555555
21,0.001,0.2507443754315376,0.12778553240740742,0.24179405546188354,0.12222974537037037
22,0.001,0.25265312118530275,0.12936828703703704,0.24202629578113555,0.12250925925925926
23,0.001,0.2521959932565689,0.12909340277777778,0.24480858409404754,0.12378587962962963
24,0.001,0.251858380818367,0.12849270833333334,0.24089568412303924,0.12192997685185185
25,0.001,0.2516521317958832,0.12843993055555555,0.24165167415142058,0.1220474537037037
26,0.001,0.25307648239135744,0.1297986111111111,0.24061977863311768,0.12176967592592593
27,0.001,0.2571563848972321,0.1320353009259259,0.24009523034095764,0.12142476851851852
28,0.001,0.25431289324760437,0.13023865740740742,0.23996800339221955,0.12148263888888888
29,0.001,0.25287349355220795,0.12977685185185187,0.24039445054531097,0.12184085648148148
30,0.001,0.24859392631053925,0.12706875,0.23946865153312683,0.12126041666666666
