model,train_profile,test_profile,snr_db,ber,errors,trials,num_rows
single_branch_n0_gate,umi_normalized,tdl_A_30ns,2.0,0.1156698156286169,1228047,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_30ns,4.0,0.06765445662133487,718276,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_30ns,6.0,0.03243227358217592,344328,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_30ns,8.0,0.012450983494888117,132190,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_30ns,10.0,0.004343386049623843,46113,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_30ns,12.0,0.001843676154996142,19574,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_30ns,14.0,0.0010046311366705247,10666,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_30ns,16.0,0.0006124237437307099,6502,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_30ns,18.0,0.0003992716471354167,4239,10616832,6
single_branch_n0_gate,umi_normalized,tdl_A_30ns,20.0,0.00027550591362847225,2925,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,-10.0,0.39590190369405864,4203224,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,-8.0,0.3636984177577643,3861325,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,-6.0,0.32605225362895446,3461642,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,-4.0,0.2826374195240162,3000714,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,-2.0,0.23389981116777586,2483275,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,0.0,0.18175195764612267,1929630,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,2.0,0.12992642249590086,1379407,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,4.0,0.08380437780309606,889737,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,6.0,0.048583513424720295,515803,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,8.0,0.026016329541618442,276211,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,10.0,0.01370653694058642,145520,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,12.0,0.007595203540943287,80637,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,14.0,0.004454718695746528,47295,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,16.0,0.0027313232421875,28998,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,18.0,0.0017040864920910494,18092,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_100ns,20.0,0.0010661372432002314,11319,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,-10.0,0.3910793728298611,4152024,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,-8.0,0.35731289710527586,3793531,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,-6.0,0.31820895348066164,3378371,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,-4.0,0.27302146252290704,2898623,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,-2.0,0.22194483250747493,2356351,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,0.0,0.16670179955753278,1769845,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,2.0,0.11158629994333526,1184693,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,4.0,0.06316648883584106,670628,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,6.0,0.028251082808883103,299937,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,8.0,0.00933272750289352,99084,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,10.0,0.0024483763141396604,25994,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,12.0,0.0008127659927179784,8629,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,14.0,0.0004445770640432099,4720,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,16.0,0.0002721150716145833,2889,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,18.0,0.00017585283444251543,1867,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_10ns,20.0,0.00012404830367476852,1317,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_300ns,-10.0,0.4012329666702836,4259823,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_300ns,-8.0,0.37030443733121143,3931460,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_300ns,-6.0,0.33398041901765047,3545814,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_300ns,-4.0,0.2924192452136381,3104566,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_300ns,-2.0,0.2459498275945216,2611208,10616832,6
single_branch_n0_gate,umi_normalized,tdl_B_300ns,0.0,0.1964874267578125,2086074,10616832,6
